customer_id,name,gender,date_of_birth,occupation,city,state,risk_score,age
1,Sai Reddy,Other,1990-11-24,Business Owner,Navi Mumbai,Maharashtra,0.58,33
2,Aditya Yadav,Male,2004-12-21,Student,Raipur,Chhattisgarh,0.43,19
3,Sara Sharma,Female,1953-03-07,Retired,Ludhiana,Punjab,0.13,70
4,Krishna Kapoor,Male,2006-08-19,Student,Allahabad,Uttar Pradesh,0.8,17
5,Arnav Shetty,Other,1999-04-25,Business Owner,Patna,Bihar,0.82,24
6,Reyansh Menon,Male,1960-11-09,Retired,Raipur,Chhattisgarh,0.6,63
7,Aditya Patel,Male,1947-07-19,Retired,Ghaziabad,Uttar Pradesh,0.26,76
8,Rahul Kapoor,Male,1980-10-23,Salaried,Ghaziabad,Uttar Pradesh,0.64,43
9,Avni Das,Female,1974-12-18,Self-employed,Navi Mumbai,Maharashtra,0.72,49
10,Priya Menon,Female,1990-02-25,Business Owner,Hyderabad,Telangana,0.19,33
11,Rahul Gowda,Male,1958-08-17,Retired,Visakhapatnam,Andhra Pradesh,0.82,65
12,Vihaan Rao,Male,1973-06-04,Lawyer,Patna,Bihar,0.19,50
13,Shaurya Kapoor,Male,1985-02-28,Lawyer,Gwalior,Madhya Pradesh,0.81,38
14,Rohan Menon,Other,1940-10-11,Retired,Aurangabad,Maharashtra,0.15,83
15,Kiara Jain,Female,2000-10-03,Business Owner,Chennai,Tamil Nadu,0.78,23
16,Rohan Rao,Other,1962-02-08,Retired,Raipur,Chhattisgarh,0.69,61
17,Avni Menon,Female,1941-04-08,Retired,Ahmedabad,Gujarat,0.07,82
18,Aarav Gupta,Other,2005-08-07,Student,Dhanbad,Jharkhand,0.3,18
19,Myra Shetty,Female,1947-08-26,Retired,Rajkot,Gujarat,0.13,76
20,Dhruv Naidu,Other,1961-12-25,Retired,Hyderabad,Telangana,0.71,62
21,Sai Das,Male,1953-08-08,Retired,Ahmedabad,Gujarat,0.78,70
22,Kavya Sharma,Other,1977-08-16,Salaried,Indore,Madhya Pradesh,0.86,46
23,Rohan Das,Male,1953-12-26,Retired,Allahabad,Uttar Pradesh,0.19,70
24,Aadhya Bose,Female,2002-01-15,Student,Amritsar,Punjab,0.1,21
25,Arjun Gowda,Other,1977-10-08,Salaried,Howrah,West Bengal,0.61,46
26,Aadhya Yadav,Female,2002-06-08,Student,Visakhapatnam,Andhra Pradesh,0.17,21
27,Riya Gupta,Other,2007-07-24,Student,Ahmedabad,Gujarat,0.24,16
28,Riya Gupta,Female,1960-08-27,Retired,Navi Mumbai,Maharashtra,0.6,63
