customer_id,name,gender,date_of_birth,occupation,city,state,risk_score,age
1,Sai Reddy,Other,24-11-1990,Business Owner,Navi Mumbai,Maharashtra,0.58,33
2,Aditya Yadav,Male,21-12-2004,Student,Raipur,Chhattisgarh,0.43,19
3,Sara Sharma,Female,07-03-1953,Retired,Ludhiana,Punjab,0.13,70
4,Krishna Kapoor,Male,19-08-2006,Student,Allahabad,Uttar Pradesh,0.8,17
5,Arnav Shetty,Other,25-04-1999,Business Owner,Patna,Bihar,0.82,24
6,Reyansh Menon,Male,09-11-1960,Retired,Raipur,Chhattisgarh,0.6,63
7,Aditya Patel,Male,19-07-1947,Retired,Ghaziabad,Uttar Pradesh,0.26,76
8,Rahul Kapoor,Male,23-10-1980,Salaried,Ghaziabad,Uttar Pradesh,0.64,43
9,Avni Das,Female,18-12-1974,Self-employed,Navi Mumbai,Maharashtra,0.72,49
10,Priya Menon,Female,25-02-1990,Business Owner,Hyderabad,Telangana,0.19,33
11,Rahul Gowda,Male,17-08-1958,Retired,Visakhapatnam,Andhra Pradesh,0.82,65
12,Vihaan Rao,Male,04-06-1973,Lawyer,Patna,Bihar,0.19,50
13,Shaurya Kapoor,Male,28-02-1985,Lawyer,Gwalior,Madhya Pradesh,0.81,38
14,Rohan Menon,Other,11-10-1940,Retired,Aurangabad,Maharashtra,0.15,83
15,Kiara Jain,Female,03-10-2000,Business Owner,Chennai,Tamil Nadu,0.78,23
16,Rohan Rao,Other,08-02-1962,Retired,Raipur,Chhattisgarh,0.69,61
17,Avni Menon,Female,08-04-1941,Retired,Ahmedabad,Gujarat,0.07,82
18,Aarav Gupta,Other,07-08-2005,Student,Dhanbad,Jharkhand,0.3,18
19,Myra Shetty,Female,26-08-1947,Retired,Rajkot,Gujarat,0.13,76
20,Dhruv Naidu,Other,25-12-1961,Retired,Hyderabad,Telangana,0.71,62
21,Sai Das,Male,08-08-1953,Retired,Ahmedabad,Gujarat,0.78,70
22,Kavya Sharma,Other,16-08-1977,Salaried,Indore,Madhya Pradesh,0.86,46
23,Rohan Das,Male,26-12-1953,Retired,Allahabad,Uttar Pradesh,0.19,70
24,Aadhya Bose,Female,15-01-2002,Student,Amritsar,Punjab,0.1,21
25,Arjun Gowda,Other,08-10-1977,Salaried,Howrah,West Bengal,0.61,46
26,Aadhya Yadav,Female,08-06-2002,Student,Visakhapatnam,Andhra Pradesh,0.17,21
27,Riya Gupta,Other,24-07-2007,Student,Ahmedabad,Gujarat,0.24,16
28,Riya Gupta,Female,27-08-1960,Retired,Navi Mumbai,Maharashtra,0.6,63
29,Priya Bose,Other,09-03-1994,Engineer,Pune,Maharashtra,0.72,29
30,Aditya Chopra,Male,28-05-1974,Business Owner,Hyderabad,Telangana,0.62,49
31,Sara Singh,Female,23-09-1987,Engineer,Kalyan-Dombivli,Maharashtra,0.06,36
32,Arnav Singh,Male,18-10-2003,Student,Surat,Gujarat,0.16,20
33,Riya Menon,Female,25-06-1976,Business Owner,Allahabad,Uttar Pradesh,0.93,47
34,Sara Patel,Other,11-12-1955,Retired,Rajkot,Gujarat,0.29,68
35,Sara Banerjee,Other,12-08-1982,Business Owner,Vadodara,Gujarat,0.25,41
36,Sai Gupta,Other,22-07-1963,Retired,Navi Mumbai,Maharashtra,0.9,60
37,Rohan Patel,Male,14-10-1974,Government Employee,Agra,Uttar Pradesh,0.44,49
38,Rahul Kapoor,Other,25-08-2003,Student,Jodhpur,Rajasthan,0.38,20
39,Shaurya Chopra,Male,24-02-1967,Government Employee,Vadodara,Gujarat,0.33,56
40,Diya Bose,Female,22-07-1983,Self-employed,Kanpur,Uttar Pradesh,0.32,40
41,Krishna Jain,Other,21-10-1952,Retired,Ghaziabad,Uttar Pradesh,0.45,71
42,Avni Patel,Other,20-11-1971,Salaried,Ludhiana,Punjab,0.79,52
43,Aditya Khan,Male,20-08-2004,Student,Ahmedabad,Gujarat,0.42,19
44,Ananya Iyer,Other,10-09-1951,Retired,Kalyan-Dombivli,Maharashtra,0.21,72
45,Vihaan Bose,Other,22-08-1992,Business Owner,Amritsar,Punjab,0.59,31
46,Myra Yadav,Female,28-12-1950,Retired,Srinagar,Jammu & Kashmir,0.28,73
47,Rohan Yadav,Male,15-12-1963,Retired,Bhopal,Madhya Pradesh,0.35,60
48,Ishaan Iyer,Other,11-07-1980,Self-employed,Navi Mumbai,Maharashtra,0.42,43
49,Rahul Shetty,Male,21-08-2000,Salaried,Faridabad,Haryana,0.53,23
50,Diya Reddy,Other,08-02-1953,Retired,Ludhiana,Punjab,0.7,70
51,Aadhya Bose,Female,22-06-2005,Student,Chennai,Tamil Nadu,0.17,18
52,Priya Chopra,Female,09-07-1949,Retired,Rajkot,Gujarat,0.8,74
53,Anika Menon,Female,02-11-1999,Business Owner,Delhi,Delhi,0.23,24
54,Aditya Singh,Male,24-09-1959,Retired,Raipur,Chhattisgarh,0.74,64
55,Arnav Kumar,Male,10-01-1968,Self-employed,Ranchi,Jharkhand,0.41,56
56,Ananya Nair,Other,28-05-1994,Business Owner,Madurai,Tamil Nadu,0.77,29
57,Arnav Bose,Other,11-11-1960,Retired,Mumbai,Maharashtra,0.79,63
58,Vivaan Nair,Male,02-10-1955,Retired,Vijayawada,Andhra Pradesh,0.6,68
59,Shaurya Naidu,Other,27-04-1973,Government Employee,Chennai,Tamil Nadu,0.84,50
